iter	Passed	Remaining
159	403	2120
160	404	2110
161	406	2102
162	407	2094
163	409	2086
164	410	2078
165	412	2070
166	413	2062
167	415	2055
168	416	2048
169	418	2042
170	419	2035
171	421	2029
172	422	2022
173	424	2016
174	426	2009
175	428	2004
176	429	1997
177	430	1989
178	432	1984
179	434	1977
180	435	1970
181	436	1963
182	438	1956
183	439	1948
184	440	1941
185	442	1935
186	443	1928
187	444	1921
188	446	1916
189	448	1910
190	449	1905
191	451	1898
192	453	1895
193	454	1889
194	456	1884
195	457	1878
196	459	1872
197	460	1865
198	462	1862
199	464	1858
200	465	1851
201	467	1845
202	468	1839
203	469	1833
204	471	1827
205	472	1822
206	474	1816
207	475	1810
208	477	1807
209	479	1802
210	480	1797
211	482	1792
212	483	1785
213	484	1779
214	485	1774
215	487	1769
216	488	1762
217	489	1757
218	491	1752
219	493	1749
220	494	1743
221	495	1737
222	497	1732
223	498	1727
224	500	1722
225	501	1717
226	502	1712
227	504	1707
228	505	1702
229	508	1701
230	509	1696
231	511	1691
232	512	1686
233	513	1681
234	515	1676
235	516	1672
236	518	1668
237	519	1663
238	520	1658
239	522	1655
240	524	1651
241	526	1647
242	527	1643
243	528	1638
244	530	1635
245	532	1633
246	534	1630
247	536	1627
248	538	1623
249	539	1619
250	541	1615
251	542	1611
252	544	1607
253	546	1604
254	548	1601
255	549	1597
256	551	1593
257	553	1590
258	554	1586
259	556	1582
260	557	1579
261	559	1575
262	560	1570
263	562	1568
264	564	1566
265	567	1565
266	569	1563
267	571	1559
268	572	1555
269	573	1551
270	575	1548
271	576	1544
272	578	1540
273	580	1537
274	582	1535
275	584	1532
276	585	1528
277	587	1525
278	589	1523
279	591	1520
280	593	1517
281	594	1514
282	596	1510
283	598	1507
284	599	1504
285	601	1500
286	603	1498
287	604	1494
288	606	1490
289	607	1488
290	609	1484
291	610	1481
292	613	1480
293	615	1477
294	616	1473
295	618	1470
296	619	1466
297	621	1463
298	622	1459
299	624	1456
300	626	1454
301	628	1452
302	629	1448
303	631	1445
304	632	1441
305	634	1438
306	635	1435
307	637	1432
308	638	1428
309	640	1425
310	642	1424
311	644	1420
312	645	1417
313	647	1414
314	648	1410
315	650	1407
316	651	1404
317	653	1401
318	654	1398
319	657	1397
320	659	1395
321	661	1393
322	663	1390
323	664	1387
324	667	1386
325	669	1384
326	671	1383
327	673	1380
328	675	1377
329	676	1374
330	678	1371
331	679	1367
332	681	1365
333	683	1362
334	684	1359
335	687	1357
336	689	1355
337	690	1352
338	691	1349
339	693	1346
340	694	1343
341	696	1340
342	698	1337
343	699	1334
344	701	1332
345	703	1330
346	705	1327
347	706	1323
348	708	1320
349	709	1317
350	711	1314
351	712	1311
352	714	1308
353	716	1306
354	718	1304
355	719	1301
356	721	1298
357	722	1295
358	724	1292
359	725	1289
360	727	1286
361	728	1284
362	730	1281
363	731	1278
364	733	1276
365	734	1273
366	736	1270
367	737	1267
368	739	1264
369	740	1261
370	742	1258
371	743	1255
372	745	1253
373	747	1251
374	749	1248
375	750	1245
376	751	1242
377	753	1239
378	754	1236
379	756	1233
380	757	1230
381	759	1228
382	760	1225
383	762	1223
384	764	1220
385	765	1217
386	767	1215
387	768	1212
388	770	1209
389	771	1206
390	773	1204
391	774	1201
392	776	1199
393	778	1197
394	780	1194
395	781	1191
396	782	1189
397	784	1186
398	785	1183
399	787	1181
400	789	1178
401	791	1177
402	793	1175
403	794	1172
404	796	1169
405	797	1167
406	799	1164
407	800	1161
408	802	1159
409	803	1156
410	805	1154
411	807	1152
412	808	1149
413	810	1147
414	811	1144
415	813	1141
416	815	1139
417	816	1137
418	818	1134
419	820	1132
420	821	1130
421	823	1127
422	824	1125
423	826	1122
424	827	1119
425	829	1117
426	830	1114
427	832	1112
428	833	1109
429	835	1107
430	837	1105
431	838	1102
432	840	1100
433	841	1097
434	842	1094
435	844	1091
436	845	1089
437	847	1087
438	848	1084
439	850	1082
440	852	1080
441	853	1077
442	854	1074
443	856	1072
444	857	1069
445	859	1067
446	860	1064
447	861	1061
448	863	1059
449	864	1056
450	866	1055
451	868	1052
452	869	1050
453	870	1047
454	872	1044
455	873	1042
456	875	1039
457	876	1037
458	878	1035
459	879	1032
460	881	1030
461	883	1028
462	884	1025
463	885	1023
464	887	1020
465	888	1018
466	889	1015
467	891	1013
468	892	1010
469	894	1008
470	895	1006
471	897	1004
472	899	1001
473	900	999
474	901	996
475	903	994
476	904	992
477	906	989
478	907	987
479	909	984
480	911	983
481	913	981
482	914	978
483	915	976
484	917	973
485	918	971
486	919	968
487	921	966
488	922	964
489	924	961
490	926	960
491	927	957
492	929	955
493	930	953
494	931	950
495	933	948
496	934	945
497	936	943
498	937	941
499	938	938
500	940	936
501	942	934
502	943	932
503	944	929
504	945	927
505	947	925
506	948	922
507	950	920
508	951	917
509	952	915
510	954	913
511	956	911
512	957	909
513	959	907
514	960	904
515	961	902
516	963	899
517	964	897
518	966	895
519	967	893
520	968	890
521	970	888
522	972	886
523	973	884
524	974	881
525	976	879
526	977	877
527	978	874
528	980	872
529	981	870
530	982	868
531	984	865
532	986	864
533	987	862
534	989	859
535	990	857
536	992	855
537	993	853
538	994	850
539	996	848
540	997	846
541	999	844
542	1001	842
543	1003	841
544	1004	838
545	1006	836
546	1007	834
547	1009	832
548	1011	830
549	1012	828
550	1013	826
551	1015	824
552	1017	822
553	1018	820
554	1020	817
555	1021	815
556	1022	813
557	1024	811
558	1025	808
559	1026	806
560	1028	804
561	1029	802
562	1031	800
563	1032	798
564	1034	796
565	1035	794
566	1036	791
567	1038	789
568	1039	787
569	1041	785
570	1042	783
571	1044	781
572	1046	780
573	1048	778
574	1050	776
575	1051	774
576	1056	774
577	1058	772
578	1059	770
579	1062	769
580	1064	767
581	1068	767
582	1069	765
583	1071	763
584	1073	761
585	1075	759
586	1077	758
587	1079	756
588	1081	754
589	1082	752
590	1084	750
591	1085	748
592	1087	746
593	1089	744
594	1094	744
595	1096	743
596	1098	741
597	1100	739
598	1102	737
599	1104	736
600	1106	734
601	1108	732
602	1110	731
603	1112	729
604	1113	727
605	1115	724
606	1116	723
607	1118	720
608	1119	718
609	1121	717
610	1123	715
611	1125	713
612	1127	711
613	1129	709
614	1130	707
615	1132	705
616	1134	703
617	1136	702
618	1138	700
619	1140	698
620	1141	696
621	1143	694
622	1145	692
623	1148	691
624	1149	689
625	1152	688
626	1153	686
627	1155	684
628	1157	682
629	1159	680
630	1161	679
631	1162	677
632	1165	675
633	1167	674
634	1169	672
635	1171	670
636	1173	668
637	1174	666
638	1176	664
639	1177	662
640	1181	661
641	1183	659
642	1184	657
643	1186	655
644	1187	653
645	1189	651
646	1191	650
647	1192	648
648	1194	646
649	1196	644
650	1198	642
651	1201	641
652	1203	639
653	1205	637
654	1206	635
655	1208	633
656	1211	632
657	1212	630
658	1214	628
659	1216	626
660	1217	624
661	1219	622
662	1221	620
663	1222	618
664	1224	617
665	1227	615
666	1229	613
667	1230	611
668	1232	609
669	1233	607
670	1235	605
671	1237	603
672	1238	601
673	1242	600
674	1244	598
675	1245	597
676	1247	595
677	1248	593
678	1250	591
679	1252	589
680	1254	587
681	1257	586
682	1258	584
683	1260	582
684	1261	580
685	1263	578
686	1265	576
687	1266	574
688	1268	572
689	1272	571
690	1273	569
691	1275	567
692	1277	565
693	1278	563
694	1280	561
695	1282	560
696	1283	558
697	1286	556
698	1287	554
699	1289	552
700	1291	550
701	1293	549
702	1295	547
703	1297	545
704	1298	543
705	1302	542
706	1304	540
707	1305	538
708	1307	536
709	1308	534
710	1310	532
711	1311	530
712	1313	528
713	1315	526
714	1317	525
715	1319	523
716	1321	521
717	1323	519
718	1324	517
719	1326	515
720	1328	513
721	1330	512
722	1332	510
723	1334	508
724	1335	506
725	1337	504
726	1338	502
727	1341	501
728	1343	499
729	1346	498
730	1348	496
731	1350	494
732	1351	492
733	1353	490
734	1354	488
735	1356	486
736	1358	484
737	1359	482
738	1363	481
739	1364	479
740	1366	477
741	1367	475
742	1369	473
743	1371	471
744	1372	469
745	1374	467
746	1376	466
747	1378	464
748	1380	462
749	1381	460
750	1383	458
751	1385	456
752	1386	454
753	1388	452
754	1390	451
755	1392	449
756	1394	447
757	1396	445
758	1399	444
759	1401	442
760	1403	440
761	1407	439
762	1409	437
763	1411	435
764	1412	434
765	1414	432
766	1417	430
767	1419	428
768	1421	427
769	1423	425
770	1425	423
771	1426	421
772	1428	419
773	1430	417
774	1431	415
775	1433	413
776	1437	412
777	1439	410
778	1440	408
779	1442	406
780	1444	404
781	1445	403
782	1447	401
783	1449	399
784	1451	397
785	1454	395
786	1455	393
787	1457	392
788	1458	390
789	1460	388
790	1463	386
791	1464	384
792	1467	382
793	1468	381
794	1470	379
795	1472	377
796	1474	375
797	1476	373
798	1478	371
799	1479	369
800	1481	368
801	1483	366
802	1485	364
803	1487	362
804	1489	360
805	1491	358
806	1493	357
807	1497	355
808	1499	353
809	1501	352
810	1502	350
811	1504	348
812	1506	346
813	1508	344
814	1509	342
815	1511	340
816	1513	339
817	1515	337
818	1517	335
819	1519	333
820	1520	331
821	1522	329
822	1524	327
823	1527	326
824	1528	324
825	1530	322
826	1532	320
827	1534	318
828	1536	316
829	1537	314
830	1539	313
831	1541	311
832	1543	309
833	1545	307
834	1547	305
835	1548	303
836	1550	301
837	1552	300
838	1553	298
839	1556	296
840	1558	294
841	1560	292
842	1561	290
843	1563	288
844	1564	287
845	1566	285
846	1569	283
847	1571	281
848	1573	279
849	1574	277
850	1576	276
851	1578	274
852	1580	272
853	1582	270
854	1583	268
855	1587	266
856	1588	265
857	1590	263
858	1591	261
859	1593	259
860	1595	257
861	1597	255
862	1599	253
863	1601	252
864	1603	250
865	1604	248
866	1606	246
867	1607	244
868	1609	242
869	1611	240
870	1612	238
871	1614	236
872	1616	235
873	1618	233
874	1619	231
875	1621	229
876	1623	227
877	1624	225
878	1626	223
879	1627	221
880	1629	220
881	1632	218
882	1634	216
883	1636	214
884	1637	212
885	1639	210
886	1641	209
887	1642	207
888	1645	205
889	1647	203
890	1649	201
891	1651	199
892	1653	198
893	1654	196
894	1656	194
895	1658	192
896	1660	190
897	1662	188
898	1664	186
899	1665	185
900	1667	183
901	1669	181
902	1670	179
903	1672	177
904	1673	175
905	1675	173
906	1678	172
907	1679	170
908	1681	168
909	1683	166
910	1686	164
911	1688	162
912	1690	161
913	1692	159
914	1694	157
915	1695	155
916	1697	153
917	1698	151
918	1700	149
919	1701	147
920	1703	146
921	1706	144
922	1707	142
923	1709	140
924	1711	138
925	1712	136
926	1714	135
927	1716	133
928	1717	131
929	1719	129
930	1721	127
931	1723	125
932	1725	123
933	1726	122
934	1728	120
935	1729	118
936	1731	116
937	1732	114
938	1735	112
939	1737	110
940	1738	109
941	1740	107
942	1741	105
943	1743	103
944	1744	101
945	1746	99
946	1748	97
947	1750	96
948	1752	94
949	1753	92
950	1755	90
951	1757	88
952	1759	86
953	1760	84
954	1763	83
955	1765	81
956	1766	79
957	1768	77
958	1770	75
959	1771	73
960	1773	71
961	1775	70
962	1777	68
963	1779	66
964	1782	64
965	1783	62
966	1785	60
967	1786	59
968	1788	57
969	1790	55
970	1791	53
971	1793	51
972	1796	49
973	1797	47
974	1799	46
975	1800	44
976	1802	42
977	1804	40
978	1805	38
979	1807	36
980	1809	35
981	1811	33
982	1813	31
983	1814	29
984	1816	27
985	1817	25
986	1819	23
987	1821	22
988	1822	20
989	1825	18
990	1827	16
991	1829	14
992	1830	12
993	1831	11
994	1833	9
995	1835	7
996	1836	5
997	1837	3
998	1840	1
999	1841	0
